name_owner,pr_id,title,state,review_time,num_reviews,num_caracteres,num_arquivos,num_additions,num_deletions,num_participants,num_comments
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0MjAxNTY0ODc2,zh-TW: Improve translations,MERGED,92h38m,1,0,1,4,4,5,5
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0MjAyNDc0NDY3,Fix broken links,MERGED,137h58m,2,0,4,15,15,3,1
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0MjAzMDA2MjIw,Fix typo in LRU cache solution,MERGED,42h39m,1,0,1,1,1,2,1
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0MjA2MjAzNTk5,Fix broken URL,MERGED,19h36m,1,59,1,1,1,2,1
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0MjA2NDQ0ODUx,Fix error in Twitter timeline solution,MERGED,9h25m,1,31,1,1,1,2,1
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0MjA2OTExMzg2,Fix wording in call center solution,MERGED,28h57m,1,35,1,2,2,3,1
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0MjA3ODA3MjQx,Resolve #195: Fix broken GitHub URLs,MERGED,18h13m,1,21,5,5,5,2,1
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0MjA3ODA3ODMz,zh-Hans: Fix typo: 'Twitter' ,MERGED,43h35m,1,0,1,1,1,2,1
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0MjA5MzExNjk4,Update Twitter/Facebook exercise description,MERGED,39h21m,1,118,1,1,1,2,1
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0MjEwMzAyNTM5,Fix broken links,MERGED,144h04m,1,271,1,10,11,2,1
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0MjEwNTE0MDk5,Fix typo in CAP theorem section,MERGED,13h24m,1,57,1,1,1,2,1
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0MjEyNDcyMDUx,Fix #126: Update link to Anki decks,MERGED,46h56m,1,191,1,3,3,2,1
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0MjEyNjA2NzY0,Add Ebook generation script,MERGED,6039h20m,1,374,7,164,120,3,6
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0MjEyOTY0ODc0,zh-Hans: Fix translation,MERGED,248h19m,3,0,1,1,1,4,2
donnemartin/system-design-primer,MDExOlB1bGxSZXF1ZXN0MjEzNzE5NjMy,Fix typo in Design Pastebin.com exercise,MERGED,29h40m,3,0,1,1,1,4,1
