Número,Nome,Estrelas,url,PRs Aprovados ou Fechados
132,shadowsocks/shadowsocks-windows,56286,https://github.com/shadowsocks/shadowsocks-windows,474
133,lodash/lodash,56046,https://github.com/lodash/lodash,1160
134,nestjs/nest,55827,https://github.com/nestjs/nest,6415
135,leonardomso/33-js-concepts,55734,https://github.com/leonardomso/33-js-concepts,213
136,vitejs/vite,55013,https://github.com/vitejs/vite,4230
137,grafana/grafana,54824,https://github.com/grafana/grafana,34364
138,apache/echarts,54776,https://github.com/apache/echarts,1519
139,enaqx/awesome-react,54689,https://github.com/enaqx/awesome-react,1101
140,chrislgarry/Apollo-11,54679,https://github.com/chrislgarry/Apollo-11,422
141,DopplerHQ/awesome-interview-questions,54666,https://github.com/DopplerHQ/awesome-interview-questions,207
142,Developer-Y/cs-video-courses,54444,https://github.com/Developer-Y/cs-video-courses,160
143,gatsbyjs/gatsby,54351,https://github.com/gatsbyjs/gatsby,21396
144,h5bp/html5-boilerplate,54207,https://github.com/h5bp/html5-boilerplate,1569
145,twitter/the-algorithm,53969,https://github.com/twitter/the-algorithm,287
146,anuraghazra/github-readme-stats,53958,https://github.com/anuraghazra/github-readme-stats,1213
147,lydiahallie/javascript-questions,53835,https://github.com/lydiahallie/javascript-questions,470
148,scikit-learn/scikit-learn,53759,https://github.com/scikit-learn/scikit-learn,14713
149,awesomedata/awesome-public-datasets,53711,https://github.com/awesomedata/awesome-public-datasets,276
150,ElemeFE/element,53254,https://github.com/ElemeFE/element,4762
151,strapi/strapi,53054,https://github.com/strapi/strapi,7584
152,Anduin2017/HowToCook,52818,https://github.com/Anduin2017/HowToCook,610
153,rails/rails,52622,https://github.com/rails/rails,30966
154,python/cpython,51851,https://github.com/python/cpython,38511
155,junegunn/fzf,51506,https://github.com/junegunn/fzf,663
156,spring-projects/spring-framework,51430,https://github.com/spring-projects/spring-framework,4020
157,apache/superset,51384,https://github.com/apache/superset,12858
158,TheAlgorithms/Java,51166,https://github.com/TheAlgorithms/Java,3052
159,sdmg15/Best-websites-a-programmer-should-visit,51148,https://github.com/sdmg15/Best-websites-a-programmer-should-visit,754
160,azl397985856/leetcode,50974,https://github.com/azl397985856/leetcode,303
162,hoppscotch/hoppscotch,50870,https://github.com/hoppscotch/hoppscotch,1810
163,sindresorhus/awesome-nodejs,50647,https://github.com/sindresorhus/awesome-nodejs,1064
164,bradtraversy/design-resources-for-developers,50634,https://github.com/bradtraversy/design-resources-for-developers,1182
165,3b1b/manim,50602,https://github.com/3b1b/manim,772
166,syncthing/syncthing,50526,https://github.com/syncthing/syncthing,3710
167,Semantic-Org/Semantic-UI,50512,https://github.com/Semantic-Org/Semantic-UI,765
169,tesseract-ocr/tesseract,50271,https://github.com/tesseract-ocr/tesseract,1507
170,scutan90/DeepLearning-500-questions,50269,https://github.com/scutan90/DeepLearning-500-questions,334
171,MunGell/awesome-for-beginners,50180,https://github.com/MunGell/awesome-for-beginners,1060
172,necolas/normalize.css,50120,https://github.com/necolas/normalize.css,356
173,remix-run/react-router,50081,https://github.com/remix-run/react-router,2810
174,microsoft/playwright,49553,https://github.com/microsoft/playwright,11427
175,psf/requests,49353,https://github.com/psf/requests,2298
176,ionic-team/ionic-framework,48912,https://github.com/ionic-team/ionic-framework,6170
178,supabase/supabase,48206,https://github.com/supabase/supabase,5264
179,google/material-design-icons,47870,https://github.com/google/material-design-icons,150
180,ageitgey/face_recognition,47864,https://github.com/ageitgey/face_recognition,187
181,ventoy/Ventoy,47758,https://github.com/ventoy/Ventoy,360
182,prometheus/prometheus,47572,https://github.com/prometheus/prometheus,6609
183,microsoft/ML-For-Beginners,47524,https://github.com/microsoft/ML-For-Beginners,406
184,moment/moment,47315,https://github.com/moment/moment,1971
185,google/guava,47200,https://github.com/google/guava,1501
186,soimort/you-get,47101,https://github.com/soimort/you-get,924
